"Sgnyea","Prvcnm_id","Prvcnm_en","Gdp0101"
"1963","650000","Xinjiang Uygur Autonomous Region","19.0100"
"1963","150000","Inner Mongolia Autonomous Region","29.0200"
"1963","130000","Hebei (province)","44.8300"
"1963","370000","Shandong (province)","67.6100"
"1963","410000","Henan (province)","42.4500"
"1963","310000","Shanghai (city)","90.6900"
"1963","360000","Jiangxi (province)","32.6900"
"1963","510000","Sichuan (province)","69.0600"
"1963","430000","Hunan (province)","48.0800"
"1963","140000","Shanxi (province)","33.7000"
"1963","440000","Guangdong (province)","81.8100"
"1963","110000","Beijing (city)","31.7200"
"1963","220000","Jilin (province)","35.9400"
"1964","142","China","1469.9000"
"1964","130000","Hebei (province)","56.6800"
"1964","410000","Henan (province)","51.4000"
"1964","330000","Zhejiang (province)","51.7500"
"1964","520000","Guizhou (province)","19.7500"
"1964","320000","Jiangsu (province)","89.5500"
"1964","310000","Shanghai (city)","100.7000"
"1964","350000","Fujian (province)","25.9500"
"1964","220000","Jilin (province)","38.4500"
"1964","450000","Guangxi Zhuang Autonomous Region","27.1800"
"1964","360000","Jiangxi (province)","35.2000"
"1964","640000","Ningxia Hui Autonomous Region","4.0900"
"1964","650000","Xinjiang Uygur Autonomous Region","21.5500"
"1964","530000","Yunnan (province)","29.2500"
"1964","440000","Guangdong (province)","81.6300"
"1964","630000","Qinghai (province)","5.5700"
"1964","110000","Beijing (city)","35.9900"
"1964","150000","Inner Mongolia Autonomous Region","32.5500"
"1964","510000","Sichuan (province)","75.7600"
"1964","370000","Shandong (province)","71.6600"
"1964","210000","Liaoning (province)","87.2100"
"1964","340000","Anhui (province)","44.9700"
"1964","620000","Gansu (province)","19.6600"
"1964","120000","Tianjin (city)","30.5900"
"1964","610000","Shaanxi (province)","29.3400"
"1964","230000","Heilongjiang (province)","68.1600"
"1964","140000","Shanxi (province)","38.4000"
"1964","420000","Hubei (province)","61.4300"
"1964","430000","Hunan (province)","57.3600"
"1965","142","China","1734.0000"
"1965","630000","Qinghai (province)","6.1400"
"1965","410000","Henan (province)","62.9600"
"1965","450000","Guangxi Zhuang Autonomous Region","31.4500"
"1965","620000","Gansu (province)","24.9800"
"1965","340000","Anhui (province)","52.7500"
"1965","430000","Hunan (province)","65.3200"
"1965","120000","Tianjin (city)","35.9600"
"1965","330000","Zhejiang (province)","55.6700"
"1965","210000","Liaoning (province)","103.1500"
"1965","640000","Ningxia Hui Autonomous Region","4.6600"
"1965","510000","Sichuan (province)","86.4900"
"1965","110000","Beijing (city)","39.7900"
"1965","420000","Hubei (province)","72.4300"
"1965","360000","Jiangxi (province)","42.9800"
"1965","530000","Yunnan (province)","33.6200"
"1965","140000","Shanxi (province)","43.9000"
"1965","370000","Shandong (province)","86.2500"
"1965","220000","Jilin (province)","42.9300"
"1965","130000","Hebei (province)","72.7200"
"1965","350000","Fujian (province)","28.8100"
"1965","310000","Shanghai (city)","113.5500"
"1965","150000","Inner Mongolia Autonomous Region","35.4100"
"1965","320000","Jiangsu (province)","95.1000"
"1965","230000","Heilongjiang (province)","78.8600"
"1965","650000","Xinjiang Uygur Autonomous Region","24.2000"
"1965","610000","Shaanxi (province)","35.9300"
"1965","520000","Guizhou (province)","24.4100"
"1965","440000","Guangdong (province)","87.0000"
"1966","142","China","1888.7000"
"1966","120000","Tianjin (city)","39.3100"
"1966","150000","Inner Mongolia Autonomous Region","38.3200"
"1966","330000","Zhejiang (province)","58.2800"
"1966","430000","Hunan (province)","72.7300"
"1966","230000","Heilongjiang (province)","92.0600"
"1966","420000","Hubei (province)","83.9500"
"1966","310000","Shanghai (city)","124.8100"
"1966","210000","Liaoning (province)","112.6100"
"1966","220000","Jilin (province)","46.6700"
"1966","130000","Hebei (province)","80.2400"
"1966","650000","Xinjiang Uygur Autonomous Region","26.7800"
"1966","630000","Qinghai (province)","6.4200"
"1966","360000","Jiangxi (province)","48.4000"
"1966","450000","Guangxi Zhuang Autonomous Region","31.6800"
"1966","110000","Beijing (city)","44.4100"
"1966","530000","Yunnan (province)","36.3900"
"1966","640000","Ningxia Hui Autonomous Region","5.4100"
"1966","350000","Fujian (province)","32.1300"
"1966","610000","Shaanxi (province)","40.4700"
"1966","140000","Shanxi (province)","49.7000"
"1966","620000","Gansu (province)","24.2300"
"1966","520000","Guizhou (province)","24.7800"
"1966","340000","Anhui (province)","59.8200"
"1966","440000","Guangdong (province)","96.4000"
"1966","410000","Henan (province)","76.3900"
"1966","320000","Jiangsu (province)","109.8900"
"1966","510000","Sichuan (province)","96.2500"
"1966","370000","Shandong (province)","97.5800"
"1967","142","China","1794.2000"
"1967","320000","Jiangsu (province)","99.2000"
"1967","420000","Hubei (province)","78.9200"
"1967","610000","Shaanxi (province)","36.8400"
"1967","360000","Jiangxi (province)","44.4600"
"1967","630000","Qinghai (province)","6.9500"
"1967","620000","Gansu (province)","23.0800"
"1967","210000","Liaoning (province)","93.3500"
"1967","510000","Sichuan (province)","89.2800"
"1967","110000","Beijing (city)","37.8600"
"1967","440000","Guangdong (province)","95.9900"
"1967","310000","Shanghai (city)","110.0400"
"1967","230000","Heilongjiang (province)","90.9100"
"1967","140000","Shanxi (province)","44.9000"
"1967","450000","Guangxi Zhuang Autonomous Region","31.1800"
"1967","350000","Fujian (province)","29.2500"
"1967","650000","Xinjiang Uygur Autonomous Region","22.4500"
"1967","130000","Hebei (province)","78.1100"
"1967","430000","Hunan (province)","73.5100"
"1967","640000","Ningxia Hui Autonomous Region","5.4700"
"1967","220000","Jilin (province)","44.2500"
"1967","340000","Anhui (province)","56.8800"
"1967","410000","Henan (province)","78.5400"
"1967","370000","Shandong (province)","99.4400"
"1967","150000","Inner Mongolia Autonomous Region","31.8000"
"1967","530000","Yunnan (province)","34.1800"
"1967","120000","Tianjin (city)","33.6200"
"1967","520000","Guizhou (province)","23.9900"
"1967","330000","Zhejiang (province)","56.3500"
"1968","142","China","1744.1000"
"1968","440000","Guangdong (province)","87.2900"
"1968","410000","Henan (province)","72.1900"
"1968","320000","Jiangsu (province)","102.8400"
"1968","350000","Fujian (province)","26.0600"
"1968","610000","Shaanxi (province)","28.1100"
"1968","530000","Yunnan (province)","26.5100"
"1968","420000","Hubei (province)","73.1200"
"1968","330000","Zhejiang (province)","54.9400"
"1968","140000","Shanxi (province)","36.8000"
"1968","360000","Jiangxi (province)","45.9500"
"1968","310000","Shanghai (city)","123.2400"
"1968","210000","Liaoning (province)","86.8900"
"1968","230000","Heilongjiang (province)","88.8900"
"1968","520000","Guizhou (province)","21.3800"
"1968","110000","Beijing (city)","37.8200"
"1968","650000","Xinjiang Uygur Autonomous Region","19.7900"
"1968","120000","Tianjin (city)","34.7700"
"1968","150000","Inner Mongolia Autonomous Region","32.9600"
"1968","450000","Guangxi Zhuang Autonomous Region","28.4600"
"1968","340000","Anhui (province)","56.0900"
"1968","510000","Sichuan (province)","76.9600"
"1968","620000","Gansu (province)","23.3700"
"1968","130000","Hebei (province)","79.4300"
"1968","630000","Qinghai (province)","6.3500"
"1968","370000","Shandong (province)","99.3400"
"1968","430000","Hunan (province)","75.6700"
"1968","640000","Ningxia Hui Autonomous Region","5.0600"
"1968","220000","Jilin (province)","42.4900"
"1969","142","China","1962.2000"
"1969","140000","Shanxi (province)","45.4000"
"1969","210000","Liaoning (province)","113.7800"
"1969","360000","Jiangxi (province)","51.9200"
"1969","330000","Zhejiang (province)","62.7000"
"1969","510000","Sichuan (province)","87.2100"
"1969","630000","Qinghai (province)","7.0300"
"1969","530000","Yunnan (province)","34.3400"
"1969","420000","Hubei (province)","76.0900"
"1969","370000","Shandong (province)","108.1700"
"1969","610000","Shaanxi (province)","40.7300"
"1969","440000","Guangdong (province)","98.6000"
"1969","310000","Shanghai (city)","142.3000"
"1969","650000","Xinjiang Uygur Autonomous Region","19.8400"
