"Staper","Fresgn","Datasgn","Nationsgn","Nationnm_en","Eftm0201","Eftm0202"
"2001-04","M","B","502","United States of America","7999210","16017980"
"2001-04","M","B","331","Switzerland","524900","229460"
"2001-04","M","B","330","Sweden","773600","410040"
"2001-04","M","B","116","Japan","13977600","14617990"
"2001-04","M","B","400","Latin America","1337120","2276380"
"2001-04","M","B","133","Republic of Korea","7556920","3708110"
"2001-04","M","B","110","China, Hong Kong","2859890","13751390"
"2001-04","M","B","609","New Zealand","199280","138320"
"2001-04","M","B","303","United Kingdom","1125530","2061480"
"2001-04","M","B","112","Indonesia","1383770","927370"
"2001-04","M","B","310","Greece","13770","247580"
"2001-04","M","B","126","Oman","792870","17110"
"2001-04","M","B","326","Norway","176940","115630"
"2001-04","M","B","114","Iraq","73010","107360"
"2001-04","M","A","126","Oman","286800","3220"
"2001-04","M","A","311","Portugal","4180","22570"
"2001-04","M","A","145","Kazakhstan","69390","22810"
"2001-04","M","A","246","Sudan","75230","23600"
"2001-04","M","A","326","Norway","89190","27250"
"2001-04","M","A","114","Iraq","0","27330"
"2001-04","M","A","609","New Zealand","67690","30350"
"2001-04","M","A","306","Ireland","48720","36660"
"2001-04","M","A","113","Iran (Islamic Republic of)","213980","42640"
"2001-04","M","A","331","Switzerland","163370","50960"
"2001-04","M","A","137","Turkey","9040","55830"
"2001-04","M","A","310","Greece","4250","59550"
"2001-04","M","A","127","Pakistan","56330","60890"
"2001-04","M","A","121","China, Macao","11910","65610"
"2001-04","M","A","115","Israel","68930","78130"
"2001-04","M","A","330","Sweden","208000","80650"
"2001-04","M","A","236","Nigeria","39880","84180"
"2001-04","M","A","327","Poland","8860","90040"
"2001-04","M","A","432","Panama","0","102770"
"2001-04","M","A","321","Hungary","17070","104430"
"2001-04","M","A","131","Saudi Arabia","255690","110230"
"2001-04","M","A","111","India","211520","134760"
"2001-04","M","A","129","Philippines","163050","136410"
"2001-04","M","A","429","Mexico","70790","137720"
"2001-04","M","A","141","Viet Nam","137150","163860"
"2001-04","M","A","344","Russian Federation","529840","188960"
"2001-04","M","A","138","United Arab Emirates","30700","190520"
"2001-04","M","A","312","Spain","75680","201610"
"2001-04","M","A","122","Malaysia","499170","220560"
"2001-04","M","A","136","Thailand","418100","225160"
"2001-04","M","A","112","Indonesia","414280","235740"
"2001-04","M","A","307","Italy","344420","390210"
"2001-04","M","A","132","Singapore","440340","502870"
"2001-04","M","A","303","United Kingdom","351340","555790"
"2001-04","M","A","309","Netherlands","112050","642920"
"2001-04","M","A","400","Latin America","458780","672860"
"2001-04","M","A","304","Germany","1218620","800110"
"2001-04","M","A","133","Republic of Korea","2128310","1035180"
