CRE_Cmect,,,,,,,
年度标识,AreaID,县域名称,隶属城市,隶属省份,土地面积,年末总人口,地区生产总值
2000,20406928,古浪县,武威市,甘肃省,,,64010.00
2000,20406929,天祝藏族自治县,武威市,甘肃省,,,41613.00
2000,20407122,安定区,定西市,甘肃省,,,89775.00
2000,20407123,通渭县,定西市,甘肃省,,,53003.00
2000,20407197,陇西县,定西市,甘肃省,,,73890.00
2000,20407198,渭源县,定西市,甘肃省,,,39802.00
2000,20407199,临洮县,定西市,甘肃省,,,84751.00
2000,20407200,漳县,定西市,甘肃省,,,29333.00
2000,20407201,岷县,定西市,甘肃省,,,49574.00
2000,20407204,武都区,陇南市,甘肃省,,,58890.00
2000,20407406,宕昌县,陇南市,甘肃省,,,21359.00
2000,20407304,成县,陇南市,甘肃省,,,73635.00
2000,20407407,康县,陇南市,甘肃省,,,23537.00
2000,20407405,文县,陇南市,甘肃省,,,36285.00
2000,20407408,西和县,陇南市,甘肃省,,,51866.00
2000,20407409,礼县,陇南市,甘肃省,,,37841.00
2000,20407411,两当县,陇南市,甘肃省,,,11354.00
2000,20407410,徽县,陇南市,甘肃省,,,58325.00
2000,20406941,泾川县,平凉市,甘肃省,,,80323.00
2000,20406942,灵台县,平凉市,甘肃省,,,66378.00
2000,20406943,崇信县,平凉市,甘肃省,,,32368.00
2000,20406944,华亭县,平凉市,甘肃省,,,74662.00
2000,20406945,庄浪县,平凉市,甘肃省,,,59001.00
2000,20406946,静宁县,平凉市,甘肃省,,,70256.00
2000,20407112,西峰区,庆阳市,甘肃省,,,90325.00
2000,20407113,庆城县,庆阳市,甘肃省,,,194580.00
2000,20407114,环县,庆阳市,甘肃省,,,37570.00
2000,20407115,华池县,庆阳市,甘肃省,,,26348.00
2000,20407116,合水县,庆阳市,甘肃省,,,30286.00
2000,20407117,正宁县,庆阳市,甘肃省,,,28328.00
2000,20407118,宁县,庆阳市,甘肃省,,,57880.00
2000,20407119,镇原县,庆阳市,甘肃省,,,50047.00
2000,20407413,临夏市,临夏回族自治州,甘肃省,,,57620.00
