CRE_Gdp01(Merge Query)
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2019,120000,天津市,14104.2800,90370.6300,1562.0000,10664567.0761,4379183.0049,6285384.0712,15290.0000,3105.4365,2200.6219
2019,320000,江苏省,99631.5200,123607.0000,8070.0000,62951593.4472,39482828.1009,23468765.3463,62360.0000,11735.1451,6372.8055
2019,360000,江西省,24757.5000,53164.0000,4666.0000,5088978.3275,3619295.4709,1469682.8566,6791.0000,1009.8549,725.8331
2019,450000,广西壮族自治区,21237.1400,42964.0000,4960.0000,6822163.6806,3774650.0563,3047513.6243,5972.0000,916.3993,470.6847
2019,500000,重庆市,23605.7700,75828.0000,3124.0000,8394958.4570,5380328.8557,3014629.6013,6358.0000,1110.6997,704.5339
2019,510000,四川省,46615.8200,55774.0000,8375.0000,9840066.1784,5654524.5931,4185541.5853,12950.0000,2890.6035,1553.6164
2019,140000,山西省,17026.6800,45724.0000,3729.0000,2098162.5390,1169022.3621,929140.1769,3520.0000,701.3634,361.9757
2019,130000,河北省,35104.5200,46347.8900,7592.0000,5804328.2178,3438093.6832,2366234.5346,9700.0000,1589.9123,789.4738
2019,330000,浙江省,62351.7400,107623.6100,5850.0000,44722450.8747,33460475.6731,11261975.2016,43121.0000,5006.9282,3234.7490
2019,630000,青海省,2965.9500,48981.4600,608.0000,54481.5169,29353.2656,25128.2513,548.0000,78.3424,29.1919
2019,350000,福建省,42395.0000,107139.2500,3973.0000,19311115.1147,12020256.6342,7290858.4805,31608.0000,2974.7115,1765.5891
2019,370000,山东省,71067.5300,70652.6200,10070.0000,29699553.2144,16143970.8528,13555582.3616,33760.0000,5754.3158,4090.6244
2019,150000,内蒙古自治区,17212.5300,67852.1300,2540.0000,1593946.7297,546832.3701,1047114.3596,3504.0000,584.2061,208.1743
2019,610000,陕西省,25793.1700,66649.0200,3876.0000,5103313.2889,2722164.4519,2381148.8370,6170.0000,1212.9006,656.0411
2019,110000,北京市,35371.2800,164220.0000,2154.0000,41645675.1987,7505091.2309,34140583.9678,32201.0000,5995.6056,3782.4834
2019,210000,辽宁省,24909.4500,57191.0000,4352.0000,10532003.8133,4543770.7755,5988233.0378,15996.0000,4028.2964,2283.9075
2019,142,中国,986515.2023,70077.6918,141008.0000,,,,,,
2019,520000,贵州省,16769.3400,46433.0000,3623.0000,656816.8811,474028.2646,182788.6165,3056.0000,487.2177,274.3910
2019,220000,吉林省,11726.8200,43475.0000,2691.0000,1890412.2572,470381.8888,1420030.3684,4118.0000,642.9718,286.4870
2019,410000,河南省,54259.2000,56387.8400,9640.0000,8249895.2757,5421327.4690,2828567.8067,10145.0000,1163.0706,713.6036
2019,310000,上海市,38155.3200,157279.0000,2428.0000,49390502.5821,19899376.4006,29491126.1815,90757.0000,9552.2917,6479.2532
2019,440000,广东省,107671.0700,94172.0000,11521.0000,103662672.4361,62945419.5940,40717252.8421,179268.0000,19532.5200,8542.5820
2019,530000,云南省,23223.7500,47944.0000,4858.0000,3369243.6606,1502415.3141,1866828.3465,5602.0000,670.9943,363.0776
2018,520000,贵州省,14806.4500,41243.5933,3600.0000,760285.7000,512338.9000,247946.7000,1891.0000,453.0251,243.4342
2018,142,中国,919281.1291,65533.7427,140541.0000,,,,,,
2018,150000,内蒙古自治区,17289.2200,68302.0000,2534.0000,1569026.7000,574659.6000,994367.1000,3511.0000,448.5321,195.3641
2018,120000,天津市,18809.6400,120710.8019,1560.0000,12255729.1000,4880915.9000,7374813.2000,15089.0000,2906.1956,2041.2586
2018,530000,云南省,17881.1200,37136.2825,4830.0000,2985796.5000,1281049.8000,1704746.7000,4343.0000,543.6907,291.4606
2018,410000,河南省,48055.8600,50152.2229,9605.0000,8281363.3000,5377558.6000,2903804.7000,8257.0000,1054.0828,593.9782
2018,310000,上海市,32679.8700,134982.0000,2424.0000,51567970.0000,20714461.5000,30853508.4000,87300.0000,8849.1138,5960.6929
2018,440000,广东省,97277.7700,86412.0000,11346.0000,108446457.3000,64650079.1000,43796378.2000,170968.0000,19234.6501,7964.0646
2018,210000,辽宁省,25315.3500,58007.5158,4359.0000,11460113.6000,4879046.3000,6581067.4000,17028.0000,3774.9421,2169.3698
2018,620000,甘肃省,8246.0700,31336.1252,2637.0000,601302.7000,221080.1000,380222.5000,2342.0000,236.1688,168.9472
2018,110000,北京市,30319.9800,140211.2419,2154.0000,41248793.8000,7407927.6000,33840866.1000,32306.0000,5477.1841,3444.2874
2018,320000,江苏省,92595.4000,115168.4080,8051.0000,66391373.6000,40397481.2000,25993892.4000,59308.0000,10560.4184,5639.8584
2018,130000,河北省,36010.2700,47772.2207,7556.0000,5390087.3000,3397604.3000,1992483.0000,8255.0000,1086.6546,520.8088
2018,630000,青海省,2865.2300,47689.4526,603.0000,72717.5000,47010.6000,25706.9000,519.0000,78.7391,30.4690
2018,350000,福建省,35804.0400,91197.2491,3941.0000,18740729.0000,11552641.3000,7188087.7000,30150.0000,2786.9774,1638.4661
2018,370000,山东省,76469.6700,76267.2567,10047.0000,29239707.4000,16011582.1000,13228125.3000,30733.0000,3452.2856,2053.1672
2018,220000,吉林省,15074.6200,55610.9240,2704.0000,2067916.4000,494436.5000,1573479.9000,4018.0000,490.0887,233.1062
2018,140000,山西省,16818.1100,45328.0000,3718.0000,2076237.2000,1227084.9000,849152.3000,3381.0000,630.1123,326.2008
2018,610000,陕西省,24438.3200,63477.4749,3864.0000,5330488.2000,3159523.3000,2170964.9000,5856.0000,1187.8551,630.0496
2018,420000,湖北省,39366.5500,66615.7035,5917.0000,5278154.7000,3407150.1000,1871004.6000,11761.0000,1422.7498,767.4495
2018,540000,西藏自治区,1477.6300,43398.0000,344.0000,72317.8000,42842.3000,29475.5000,266.0000,26.3919,17.3248
2018,360000,江西省,21984.7800,47433.9457,4648.0000,4818758.4000,3394268.9000,1424489.6000,6137.0000,877.2028,613.4916
2018,330000,浙江省,56197.1500,98643.4088,5737.0000,43236009.9000,32103884.9000,11132125.0000,40191.0000,4457.8820,2841.7775
2018,430000,湖南省,36425.7800,52948.6035,6899.0000,4647420.1000,3054261.7000,1593158.4000,8765.0000,1831.8548,799.6560
2018,230000,黑龙江省,16361.6200,43274.4056,3773.0000,2643735.9000,444949.2000,2198786.7000,5028.0000,427.4738,259.0620
2018,650000,新疆维吾尔自治区,12199.0800,49474.7173,2487.0000,1999974.7000,1641229.7000,358744.9000,1659.0000,211.5055,136.4302
2018,640000,宁夏回族自治区,3705.1800,54094.1675,688.0000,377656.4000,273366.3000,104290.1000,762.0000,184.7695,128.8683
2018,340000,安徽省,30006.8200,47711.6644,6324.0000,6284031.7000,3619660.9000,2664370.8000,6611.0000,1129.8422,594.8884
2018,510000,四川省,40678.1300,48883.1701,8341.0000,8992113.7000,5036769.0000,3955344.7000,12502.0000,1255.5690,708.7538
2018,460000,海南省,4832.0500,51955.2922,934.0000,1273353.0000,448848.7000,824504.3000,2707.0000,927.9332,706.6951
2018,450000,广西壮族自治区,20352.5100,41489.1652,4926.0000,6230226.6000,3278990.5000,2951236.1000,5333.0000,627.2258,321.7454
2018,500000,重庆市,20363.1900,65932.7242,3102.0000,7901691.3000,5135447.3000,2766244.0000,6299.0000,1106.8608,697.4688
2017,120000,天津市,18549.1900,118943.5683,1557.0000,11291916.5000,4356105.4000,6935811.0000,13938.0000,2548.2286,1762.5855
2017,110000,北京市,28014.9400,128994.1063,2170.7000,32401742.3000,5856598.8000,26545143.5000,31442.0000,4864.0860,3123.5958
2017,450000,广西壮族自治区,18523.2600,38102.0000,4885.0000,5787865.9000,2809118.9000,2978747.0000,4872.0000,562.0020,298.7481
2017,500000,重庆市,19424.7300,63442.0000,3075.1600,6660110.7000,4259525.8000,2400584.9000,5739.0000,945.5839,601.7893
