CRE_Gdp01(Merge Query),,,,,,,,,,,
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2019,350000,福建省,42395,107139.25,3973,19311115.11,12020256.63,7290858.481,31608,2974.7115,1765.5891
2019,370000,山东省,71067.53,70652.62,10070,29699553.21,16143970.85,13555582.36,33760,5754.3158,4090.6244
2019,150000,内蒙古自治区,17212.53,67852.13,2540,1593946.73,546832.3701,1047114.36,3504,584.2061,208.1743
2019,610000,陕西省,25793.17,66649.02,3876,5103313.289,2722164.452,2381148.837,6170,1212.9006,656.0411
2019,110000,北京市,35371.28,164220,2154,41645675.2,7505091.231,34140583.97,32201,5995.6056,3782.4834
2019,210000,辽宁省,24909.45,57191,4352,10532003.81,4543770.776,5988233.038,15996,4028.2964,2283.9075
2019,142,中国,986515.2023,70077.6918,141008,,,,,,
2019,520000,贵州省,16769.34,46433,3623,656816.8811,474028.2646,182788.6165,3056,487.2177,274.391
2019,220000,吉林省,11726.82,43475,2691,1890412.257,470381.8888,1420030.368,4118,642.9718,286.487
2019,410000,河南省,54259.2,56387.84,9640,8249895.276,5421327.469,2828567.807,10145,1163.0706,713.6036
2019,310000,上海市,38155.32,157279,2428,49390502.58,19899376.4,29491126.18,90757,9552.2917,6479.2532
2019,440000,广东省,107671.07,94172,11521,103662672.4,62945419.59,40717252.84,179268,19532.52,8542.582
2019,530000,云南省,23223.75,47944,4858,3369243.661,1502415.314,1866828.347,5602,670.9943,363.0776
2018,520000,贵州省,14806.45,41243.5933,3600,760285.7,512338.9,247946.7,1891,453.0251,243.4342
2018,142,中国,919281.1291,65533.7427,140541,,,,,,
2018,150000,内蒙古自治区,17289.22,68302,2534,1569026.7,574659.6,994367.1,3511,448.5321,195.3641
2018,120000,天津市,18809.64,120710.8019,1560,12255729.1,4880915.9,7374813.2,15089,2906.1956,2041.2586
2018,530000,云南省,17881.12,37136.2825,4830,2985796.5,1281049.8,1704746.7,4343,543.6907,291.4606
2018,410000,河南省,48055.86,50152.2229,9605,8281363.3,5377558.6,2903804.7,8257,1054.0828,593.9782
2018,310000,上海市,32679.87,134982,2424,51567970,20714461.5,30853508.4,87300,8849.1138,5960.6929
2018,440000,广东省,97277.77,86412,11346,108446457.3,64650079.1,43796378.2,170968,19234.6501,7964.0646
2018,210000,辽宁省,25315.35,58007.5158,4359,11460113.6,4879046.3,6581067.4,17028,3774.9421,2169.3698
2018,620000,甘肃省,8246.07,31336.1252,2637,601302.7,221080.1,380222.5,2342,236.1688,168.9472
2018,110000,北京市,30319.98,140211.2419,2154,41248793.8,7407927.6,33840866.1,32306,5477.1841,3444.2874
2018,320000,江苏省,92595.4,115168.408,8051,66391373.6,40397481.2,25993892.4,59308,10560.4184,5639.8584
2018,130000,河北省,36010.27,47772.2207,7556,5390087.3,3397604.3,1992483,8255,1086.6546,520.8088
2018,630000,青海省,2865.23,47689.4526,603,72717.5,47010.6,25706.9,519,78.7391,30.469
2018,350000,福建省,35804.04,91197.2491,3941,18740729,11552641.3,7188087.7,30150,2786.9774,1638.4661
2018,370000,山东省,76469.67,76267.2567,10047,29239707.4,16011582.1,13228125.3,30733,3452.2856,2053.1672
2018,220000,吉林省,15074.62,55610.924,2704,2067916.4,494436.5,1573479.9,4018,490.0887,233.1062
2018,140000,山西省,16818.11,45328,3718,2076237.2,1227084.9,849152.3,3381,630.1123,326.2008
2018,610000,陕西省,24438.32,63477.4749,3864,5330488.2,3159523.3,2170964.9,5856,1187.8551,630.0496
2018,420000,湖北省,39366.55,66615.7035,5917,5278154.7,3407150.1,1871004.6,11761,1422.7498,767.4495
2018,540000,西藏自治区,1477.63,43398,344,72317.8,42842.3,29475.5,266,26.3919,17.3248
2018,360000,江西省,21984.78,47433.9457,4648,4818758.4,3394268.9,1424489.6,6137,877.2028,613.4916
2018,330000,浙江省,56197.15,98643.4088,5737,43236009.9,32103884.9,11132125,40191,4457.882,2841.7775
2018,430000,湖南省,36425.78,52948.6035,6899,4647420.1,3054261.7,1593158.4,8765,1831.8548,799.656
2018,230000,黑龙江省,16361.62,43274.4056,3773,2643735.9,444949.2,2198786.7,5028,427.4738,259.062
2018,650000,新疆维吾尔自治区,12199.08,49474.7173,2487,1999974.7,1641229.7,358744.9,1659,211.5055,136.4302
2018,640000,宁夏回族自治区,3705.18,54094.1675,688,377656.4,273366.3,104290.1,762,184.7695,128.8683
2018,340000,安徽省,30006.82,47711.6644,6324,6284031.7,3619660.9,2664370.8,6611,1129.8422,594.8884
2018,510000,四川省,40678.13,48883.1701,8341,8992113.7,5036769,3955344.7,12502,1255.569,708.7538
2018,460000,海南省,4832.05,51955.2922,934,1273353,448848.7,824504.3,2707,927.9332,706.6951
2018,450000,广西壮族自治区,20352.51,41489.1652,4926,6230226.6,3278990.5,2951236.1,5333,627.2258,321.7454
2018,500000,重庆市,20363.19,65932.7242,3102,7901691.3,5135447.3,2766244,6299,1106.8608,697.4688
2017,120000,天津市,18549.19,118943.5683,1557,11291916.5,4356105.4,6935811,13938,2548.2286,1762.5855
2017,110000,北京市,28014.94,128994.1063,2170.7,32401742.3,5856598.8,26545143.5,31442,4864.086,3123.5958
2017,450000,广西壮族自治区,18523.26,38102,4885,5787865.9,2809118.9,2978747,4872,562.002,298.7481
2017,500000,重庆市,19424.73,63442,3075.16,6660110.7,4259525.8,2400584.9,5739,945.5839,601.7893
2017,510000,四川省,36980.22,44651.32,8302,6810605.8,3755343,3055262.8,11462,1127.9723,658.2232
2017,620000,甘肃省,7459.8995,28496.501,2626,482633.3,170978.8,311654.5,2061,201.975,159.9653
2017,140000,山西省,15528.42,42060,3702,1718687.5,1019561.1,699126.3,3437,497.2449,261.9918
2017,130000,河北省,34016.32,45387,7519.52,4985554.3,3135740.3,1849814,7956,958.1812,467.4982
2017,630000,青海省,2624.83,44047,598,65575.1,42417.4,23157.6,470,76.9932,29.5413
2017,410000,河南省,44552.83,46674,9559.13,7763009,4703096.3,3059912.7,7827,1045.3774,555.2909
2017,150000,内蒙古自治区,16096.21,63764,2529,1387352.3,487796.2,899556,3453,459.7937,207.2599
2017,610000,陕西省,21898.81,57266.31,3835,4020279.8,2454380.6,1565899.2,5629,800.395,472.6904
2017,320000,江苏省,85869.76,107150,8029.3,59077813.6,36302622.7,22775190.9,58577,9658.1873,5226.1586
2017,540000,西藏自治区,1310.92,39267,337,86345,43328.6,43016.4,252,30.3136,21.1694
2017,360000,江西省,20006.31,43424.3703,4622,4433898.4,3248826.5,1185071.9,6059,807.9723,566.0631
2017,210000,辽宁省,23409.24,53526.6544,4369,9959508.4,4486591.8,5472916.6,16883,3158.5001,1754.0697
2017,520000,贵州省,13540.8256,37956.0633,3580,816231.3,579371.1,236860.2,1671,312.5132,167.092
2017,220000,吉林省,14944.53,54838,2717,1854297.1,441936.4,1412360.6,4044,388.7356,142.0156
2017,330000,浙江省,51768.26,92057.0108,5657,37790747.1,28679327.5,9111419.6,37422,3734.1457,2286.1676
2017,310000,上海市,30632.99,126634.15,2418,47619664.9,19364289.9,28255375,84007,7982.3905,5472.7717
2017,440000,广东省,89705.23,80932,11169,100667837.4,62286836.8,38381000.6,135869,17622.2731,6431.8635
2017,350000,福建省,32182.09,82677,3911,17102004,10491667.2,6610336.8,28264,2607.2064,1502.6839
2017,530000,云南省,16376.34,34221,4800.5,2345110.9,1146651,1198459.9,4366,373.8226,214.4859
2017,370000,山东省,72634.1491,72807.1389,10005.83,26455095.6,14703746.4,11751349.2,29512,3042.1775,1819.7892
2017,430000,湖南省,33902.96,49558,6860.15,3603329.7,2317083.6,1286246.1,7733,1633.9193,684.164
2017,640000,宁夏回族自治区,3443.56,50765,682,503951.7,365107.1,138844.6,738,304.2021,228.5449
2017,420000,湖北省,35478.09,60199,5902,4633719,3048622.7,1585096.3,10962,1151.027,610.6191
2017,230000,黑龙江省,15902.6817,41916,3788.7,1895119.5,520925.2,1374194.3,4444,336.6862,200.3948
2017,650000,新疆维吾尔自治区,10881.96,44941,2445,2056853,1763333.5,293519.5,1679,133.2275,80.8941
