表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2006,15.69,1.76,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2006,58.55,12.89,
88章 航空器、航天器及其零件,2006,2.79,56.34,
89章 船舶及浮动结构体,2006,0.62,0.06,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2006,57.56,43.66,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2006,51.20,43.56,
91章 钟表及其零件,2006,3.09,0.05,
92章 乐器及其零件、附件,2006,3.27,0.05,
"第十九类 武器、弹药及其零件、
附件",2006,0.27,0.00,
93章 武器、弹药及其零件、附件,2006,0.27,0.00,
第二十类 杂项制品,2006,212.11,1.50,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2006,115.57,0.81,
"95章 玩具、游戏品、运动用品及
其零件、附件",2006,86.41,0.38,
96章 杂项制品,2006,10.12,0.31,
第二十一类 艺术品、收藏品及古物,2006,0.20,0.01,
97章 艺术品、收藏品及古物,2006,0.20,0.01,
第二十二类 特殊交易品及未分类商品,2006,1.01,0.54,
98章 特殊交易品及未分类商品,2006,1.01,0.54,
总额,2007,2326.77,693.91,
第一类 活动物；动物产品,2007,11.36,14.31,
01章 活动物,2007,0.20,0.19,
02章 肉及食用杂碎,2007,0.13,7.65,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2007,8.40,4.61,
