表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2007,0.20,1.07,
05章 其他动物产品,2007,2.43,0.80,
第二类 植物产品,2007,6.85,44.86,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2007,0.10,0.02,
07章 食用蔬菜、根及块茎,2007,3.64,0.24,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2007,1.02,1.14,
09章 咖啡、茶、马黛茶及调味香料,2007,0.86,0.12,
10章 谷物,2007,0.03,0.06,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2007,0.05,0.06,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2007,0.81,42.96,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2007,0.29,0.18,
"14章 编结用植物材料；其他
植物产品",2007,0.04,0.07,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2007,0.25,1.35,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2007,0.25,1.35,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2007,24.71,5.06,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2007,8.96,0.03,
17章 糖及糖食,2007,1.14,0.46,
18章 可可及可可制品,2007,0.42,0.17,
19章 谷物、粮食粉、淀粉或乳的制品；糕饼点心,2007,0.73,0.17,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2007,9.54,0.79,
21章 杂项食品,2007,1.41,1.03,
22章 饮料、酒及醋,2007,0.24,0.22,
"23章 食品工业的残渣及废料；配制
的动物饲料",2007,2.10,1.49,
24章 烟草及烟草代用品的制品,2007,0.17,0.69,
第五类 矿产品,2007,17.38,16.62,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2007,4.81,2.11,
26章 矿砂、矿渣及矿灰,2007,0.06,10.67,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2007,12.51,3.84,
"第六类 化学工业及其相关工业的
产品",2007,60.15,74.05,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2007,8.18,9.73,
29章 有机化学品,2007,27.72,28.22,
30章 药品,2007,4.04,5.23,
31章 肥料,2007,2.29,1.20,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2007,3.47,3.56,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2007,5.20,1.69,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2007,1.59,3.64,
"35章 蛋白类物质；改性淀粉；
胶；酶",2007,1.28,2.09,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2007,1.68,0.06,
37章 照相及电影用品,2007,0.63,2.43,
38章 杂项化学产品,2007,4.09,16.20,
"第七类 塑料及其制品，橡胶及其
制品",2007,90.12,51.63,
39章 塑料及其制品,2007,60.44,44.75,
40章 橡胶及其制品,2007,29.67,6.88,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2007,41.00,11.79,
41章 生皮(毛皮除外)及皮革,2007,0.51,11.56,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2007,40.14,0.03,
43章 毛皮、人造毛皮及其制品,2007,0.36,0.19,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2007,29.10,6.11,
44章 木及木制品；木炭,2007,25.94,6.10,
45章 软木及软木制品,2007,0.07,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2007,3.09,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2007,19.25,32.71,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2007,0.07,25.04,
"48章 纸及纸板；纸浆、纸或纸板
制品",2007,12.94,6.35,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2007,6.24,1.33,
第十一类 纺织原料及纺织制品,2007,228.82,24.21,
50章 蚕丝,2007,0.57,0.01,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2007,0.35,0.26,
52章 棉花,2007,2.11,16.16,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2007,0.17,0.00,
54章 化学纤维长丝,2007,1.75,0.77,
55章 化学纤维短纤,2007,3.62,3.02,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2007,1.38,2.32,
"57章 地毯及纺织材料的其他
铺地制品",2007,3.61,0.17,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2007,2.97,0.13,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2007,1.58,0.94,
60章 针织物及钩编织物,2007,1.24,0.12,
61章 针织或钩编的服装及衣着附件,2007,78.24,0.05,
"62章 非针织或非钩编的服装及
衣着附件",2007,88.90,0.09,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2007,42.33,0.18,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2007,99.36,0.77,
64章 鞋靴、护腿和类似品及其零件,2007,82.34,0.72,
65章 帽类及其零件,2007,6.05,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2007,2.25,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2007,8.72,0.05,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2007,28.47,4.30,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2007,5.85,1.01,
69章 陶瓷产品,2007,10.89,0.69,
70章 玻璃及其制品,2007,11.72,2.61,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2007,12.96,1.88,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2007,12.96,1.88,
第十五类 贱金属及其制品,2007,178.20,45.16,
72章 钢铁,2007,18.57,8.21,
73章 钢铁制品,2007,88.05,8.82,
74章 铜及其制品,2007,6.36,12.51,
75章 镍及其制品,2007,0.06,1.70,
76章 铝及其制品,2007,17.05,9.01,
78章 铅及其制品,2007,0.05,0.01,
79章 锌及其制品,2007,1.31,0.51,
80章 锡及其制品,2007,0.81,0.05,
81章 其他贱金属、金属陶瓷及其制品,2007,4.54,1.46,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2007,18.69,1.88,
83章 贱金属杂项制品,2007,22.72,1.00,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2007,1078.40,232.33,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2007,518.44,108.52,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2007,559.96,123.81,
"第十七类 车辆、航空器、船舶及
有关运输设备",2007,89.20,74.66,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2007,19.40,1.41,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2007,66.26,20.47,
88章 航空器、航天器及其零件,2007,2.71,52.58,
89章 船舶及浮动结构体,2007,0.82,0.20,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2007,53.30,48.96,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2007,45.74,48.86,
91章 钟表及其零件,2007,3.86,0.05,
92章 乐器及其零件、附件,2007,3.70,0.06,
"第十九类 武器、弹药及其零件、
附件",2007,0.37,0.00,
93章 武器、弹药及其零件、附件,2007,0.37,0.00,
第二十类 杂项制品,2007,256.03,2.10,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2007,137.00,1.20,
"95章 玩具、游戏品、运动用品及
其零件、附件",2007,105.98,0.53,
96章 杂项制品,2007,13.06,0.38,
第二十一类 艺术品、收藏品及古物,2007,0.18,0.01,
97章 艺术品、收藏品及古物,2007,0.18,0.01,
第二十二类 特殊交易品及未分类商品,2007,1.30,1.03,
98章 特殊交易品及未分类商品,2007,1.30,1.03,
总额,2008,2523.84,813.60,
第一类 活动物；动物产品,2008,11.04,20.46,
01章 活动物,2008,0.27,0.42,
02章 肉及食用杂碎,2008,0.06,12.52,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2008,8.08,5.16,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2008,0.23,1.51,
05章 其他动物产品,2008,2.41,0.86,
第二类 植物产品,2008,7.33,87.65,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2008,0.11,0.03,
07章 食用蔬菜、根及块茎,2008,3.41,0.20,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2008,1.01,1.89,
09章 咖啡、茶、马黛茶及调味香料,2008,1.04,0.15,
10章 谷物,2008,0.01,0.03,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2008,0.07,0.05,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2008,1.07,85.08,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2008,0.56,0.18,
"14章 编结用植物材料；其他
植物产品",2008,0.05,0.04,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2008,0.32,2.56,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2008,0.32,2.56,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2008,31.49,6.44,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2008,11.97,0.15,
17章 糖及糖食,2008,1.33,0.29,
18章 可可及可可制品,2008,0.62,0.16,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2008,0.93,0.23,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2008,11.97,1.06,
21章 杂项食品,2008,1.09,1.26,
22章 饮料、酒及醋,2008,0.27,0.34,
"23章 食品工业的残渣及废料；配制
的动物饲料",2008,3.21,1.90,
24章 烟草及烟草代用品的制品,2008,0.09,1.03,
第五类 矿产品,2008,28.79,19.82,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2008,5.16,3.74,
26章 矿砂、矿渣及矿灰,2008,0.02,9.03,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2008,23.61,7.04,
"第六类 化学工业及其相关工业的
产品",2008,88.36,87.03,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2008,13.31,14.26,
29章 有机化学品,2008,45.60,29.04,
30章 药品,2008,6.60,6.49,
31章 肥料,2008,2.75,0.26,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2008,3.33,3.68,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2008,4.78,2.10,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2008,1.81,4.60,
"35章 蛋白类物质；改性淀粉；
胶；酶",2008,2.01,2.36,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2008,1.66,0.11,
37章 照相及电影用品,2008,0.77,3.06,
38章 杂项化学产品,2008,5.74,21.07,
"第七类 塑料及其制品，橡胶及其
制品",2008,94.62,57.27,
39章 塑料及其制品,2008,63.61,48.45,
40章 橡胶及其制品,2008,31.01,8.82,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2008,42.80,11.75,
41章 生皮(毛皮除外)及皮革,2008,0.27,11.53,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2008,42.25,0.04,
43章 毛皮、人造毛皮及其制品,2008,0.27,0.18,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2008,26.38,5.71,
44章 木及木制品；木炭,2008,22.44,5.71,
45章 软木及软木制品,2008,0.07,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2008,3.88,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2008,22.50,41.62,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2008,0.13,32.77,
"48章 纸及纸板；纸浆、纸或纸板
制品",2008,14.60,6.89,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2008,7.77,1.96,
第十一类 纺织原料及纺织制品,2008,232.79,26.08,
50章 蚕丝,2008,0.49,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2008,0.36,0.19,
52章 棉花,2008,2.46,16.68,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2008,0.20,0.00,
54章 化学纤维长丝,2008,2.39,1.03,
55章 化学纤维短纤,2008,3.89,3.64,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2008,2.29,2.60,
"57章 地毯及纺织材料的其他
铺地制品",2008,3.60,0.24,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2008,3.17,0.14,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2008,2.13,0.90,
60章 针织物及钩编织物,2008,1.35,0.14,
61章 针织或钩编的服装及衣着附件,2008,72.92,0.10,
"62章 非针织或非钩编的服装及
衣着附件",2008,91.00,0.14,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2008,46.54,0.28,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2008,111.21,0.76,
64章 鞋靴、护腿和类似品及其零件,2008,93.26,0.65,
65章 帽类及其零件,2008,6.75,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2008,2.73,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2008,8.47,0.09,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2008,28.93,5.69,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2008,5.61,1.19,
69章 陶瓷产品,2008,11.45,0.61,
70章 玻璃及其制品,2008,11.87,3.90,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2008,13.98,1.96,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2008,13.98,1.96,
第十五类 贱金属及其制品,2008,205.86,51.07,
72章 钢铁,2008,26.21,9.71,
73章 钢铁制品,2008,107.14,12.21,
74章 铜及其制品,2008,7.65,10.45,
75章 镍及其制品,2008,0.11,2.57,
76章 铝及其制品,2008,18.19,9.95,
78章 铅及其制品,2008,0.02,0.01,
79章 锌及其制品,2008,0.52,0.47,
80章 锡及其制品,2008,0.51,0.06,
81章 其他贱金属、金属陶瓷及其制品,2008,6.21,2.03,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2008,18.33,2.41,
83章 贱金属杂项制品,2008,20.99,1.20,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2008,1135.42,260.98,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2008,551.08,120.17,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2008,584.33,140.82,
"第十七类 车辆、航空器、船舶及
有关运输设备",2008,94.92,67.61,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2008,22.57,1.35,
