CRE_Gdpct(Merge Query)
年度标识,城市名称,城市代码,省份名称,生产总值,年末总人口,人口密度,外商新签合同数,外商协议投资金额,外商实际投资额
2023,清远市,441800,广东省,2120.1891,453.3500,209.4352,66.0000,131510.0000,115523.0000
2023,肇庆市,441200,广东省,2792.5100,457.9800,277.4549,117.0000,395340.0000,148803.0000
2023,茂名市,440900,广东省,3987.2225,824.1400,545.9666,18.0000,7882.0000,10455.0000
2023,湛江市,440800,广东省,3793.5867,871.3800,533.6631,40.0000,23926.0000,462378.0000
2023,阳江市,441700,广东省,1581.7863,303.3100,329.4552,36.0000,15114.0000,17544.0000
2023,江门市,440700,广东省,4022.2453,403.4800,505.7477,555.0000,424732.0000,305647.0000
2023,中山市,442000,广东省,3850.6467,215.3100,2503.2145,847.0000,942834.0000,352146.0000
2023,东莞市,441900,广东省,11438.1335,307.8800,4261.6588,1369.0000,5699059.0000,722121.0000
2023,汕尾市,441500,广东省,1430.8427,363.9300,553.1326,64.0000,81294.0000,32671.0000
2023,惠州市,441300,广东省,5639.6832,425.2900,535.0843,528.0000,869204.0000,889244.0000
2023,梅州市,441400,广东省,1408.4272,535.0800,242.6233,28.0000,44260.0000,12918.0000
2023,河源市,441600,广东省,1348.2166,369.1800,181.3190,46.0000,27873.0000,23394.0000
2023,韶关市,440200,广东省,1620.8326,336.0100,155.2030,29.0000,161662.0000,23821.0000
2023,佛山市,440600,广东省,13276.1355,509.0700,2531.8409,968.0000,4681924.0000,626438.0000
2023,汕头市,440500,广东省,3158.3193,579.3400,2520.7560,59.0000,74581.0000,54664.0000
2023,珠海市,440400,广东省,4233.2202,161.3700,1445.7936,2219.0000,2883244.0000,805996.0000
2023,深圳市,440300,广东省,34606.4028,687.3900,8953.2236,8002.0000,9436456.0000,6262117.0000
2023,广州市,440100,广东省,30355.7263,1056.6100,2600.9676,6629.0000,18175946.0000,4832227.0000
2023,驻马店市,411700,河南省,3097.1600,,,,8596.0000,1266.0000
2023,周口市,411600,河南省,3332.5700,,,,22753.0000,2.0000
2023,信阳市,411500,河南省,2959.4000,,,,2921.0000,1175.0000
2023,商丘市,411400,河南省,3109.0000,,,,4262.0000,1846.0000
2023,南阳市,411300,河南省,4572.1700,,,,82990.0000,4015.0000
2023,三门峡市,411200,河南省,1620.2700,,,,145.0000,0.0000
2023,漯河市,411100,河南省,1763.9500,,,,22541.0000,6090.0000
2023,许昌市,411000,河南省,3238.1800,,,,17926.0000,765.0000
2023,濮阳市,410900,河南省,1850.6400,,,,3688.0000,1074.0000
2023,焦作市,410800,河南省,2233.9300,,,,1373.0000,9105.0000
2023,新乡市,410700,河南省,3347.6500,,,,8582.0000,3331.0000
2023,鹤壁市,410600,河南省,1033.1700,,,,7912.0000,1223.0000
2023,安阳市,410500,河南省,2486.1400,,,,12198.0000,5592.0000
2023,平顶山市,410400,河南省,2720.0700,,,,9716.0000,6473.0000
2023,洛阳市,410300,河南省,5481.5600,,,,6397.0000,2524.0000
2023,开封市,410200,河南省,2534.1900,,,,12172.0000,1991.0000
2023,郑州市,410100,河南省,13617.8400,,,,736815.0000,23622.0000
2023,丽水市,331100,浙江省,1964.0000,268.8677,,,,13760.0000
2023,台州市,331000,浙江省,6241.0000,602.9517,,,,35482.0000
2023,舟山市,330900,浙江省,2101.0000,94.6117,,,,47648.0000
2023,衢州市,330800,浙江省,2125.0000,253.9224,,,,10892.0000
2023,金华市,330700,浙江省,6011.0000,497.9686,,,,53001.0000
2023,绍兴市,330600,浙江省,7791.0000,443.9407,,,,97369.0000
2023,湖州市,330500,浙江省,4015.0000,268.6472,,,,58178.0000
2023,嘉兴市,330400,浙江省,7062.0000,376.7644,,,,301347.0000
2023,温州市,330300,浙江省,8731.0000,830.0005,,,,53352.0000
2023,宁波市,330200,浙江省,16453.0000,622.1708,,,,468950.0000
2023,杭州市,330100,浙江省,20059.0000,860.6036,,,,883113.0000
2023,宁德市,350900,福建省,3807.3300,354.6586,,44.0000,28531.0000,1927.0000
2023,龙岩市,350800,福建省,3317.9609,313.9250,,52.0000,8719.0000,720.0000
2023,南平市,350700,福建省,2270.0039,311.9245,,55.0000,37955.0000,4383.0000
2023,漳州市,350600,福建省,5728.4323,525.0263,,167.0000,82182.0000,40558.0000
2023,泉州市,350500,福建省,12172.3305,775.9140,,764.0000,174221.0000,84839.0000
2023,三明市,350400,福建省,3007.1010,284.3778,,37.0000,7106.0000,3672.0000
2023,莆田市,350300,福建省,3070.7331,367.3753,,50.0000,14467.0000,4690.0000
2023,厦门市,350200,福建省,8066.4875,302.0813,,1682.0000,406515.0000,197384.0000
2023,福州市,350100,福建省,12928.4736,733.9969,,585.0000,831532.0000,91968.0000
2023,甘南藏族自治州,623000,甘肃省,260.8059,,,,,561.0000
2023,临夏回族自治州,622900,甘肃省,439.6604,,,,,72.0000
2023,陇南市,621200,甘肃省,602.6938,,,1.0000,1.0000,
2023,定西市,621100,甘肃省,600.1104,,,1.0000,576.0000,
2023,庆阳市,621000,甘肃省,1100.3691,,,,,635.0000
2023,酒泉市,620900,甘肃省,908.6778,,,3.0000,5769.0000,921.0000
2023,平凉市,620800,甘肃省,668.5708,,,1.0000,70.0000,
2023,张掖市,620700,甘肃省,608.0142,,,2.0000,608.0000,572.0000
2023,武威市,620600,甘肃省,708.0815,,,1.0000,,
2023,天水市,620500,甘肃省,856.7755,,,2.0000,16.0000,9.0000
2023,白银市,620400,甘肃省,672.2951,,,1.0000,0.0000,
2023,金昌市,620300,甘肃省,567.7329,,,3.0000,4000.0000,834.0000
2023,嘉峪关市,620200,甘肃省,382.7923,,,,,
2023,兰州市,620100,甘肃省,3487.2621,,,19.0000,17651.0000,10316.0000
2022,阿里地区,542500,西藏自治区,80.5100,,,,,
2022,海西蒙古族藏族自治州,632800,青海省,,,,,,
2022,黄南藏族自治州,632300,青海省,,,,,,
2022,丽水市,331100,浙江省,1831.0000,269.3048,,,,11873.0000
