"Staper","Fresgn","Datasgn","Eftm0101","Eftm0102","Eftm0103","Eftm0106","Eftm0107","Eftm0108","Eftm0109"
"2006-02","M","A","105850000","51700000","54150000","12739676","38864774","3195504","50911747"
"2006-03","M","A","144900000","66860000","78050000","16015032","50842100","4693532","73352305"
"2006-03","M","B","371300000","174000000","197300000","42634699","131361057","11766800","185537597"
"2006-04","M","A","143440000","66490000","76950000","15886714","50604641","4307220","72640957"
"2006-04","M","B","514720000","240480000","274230000","58525218","181957737","16072847","258160826"
"2006-05","M","A","133220000","60110000","73110000","15391207","44718523","3991664","69122217"
"2006-05","M","B","647850000","300530000","347320000","73933084","226593747","20062243","327257474"
"2006-06","M","B","795740000","367150000","428590000","90694352","276451316","24293994","404299204"
"2006-06","M","A","148120000","66810000","81310000","16762022","50046278","4233431","77077789"
"2006-07","M","B","941850000","432950000","508900000","105945733","326991893","28448166","480454324"
"2006-07","M","A","146060000","65720000","80340000","15214350","50499164","4156379","76180774"
"2006-08","M","B","1104610000","504980000","599630000","123699552","381277218","33263467","566370106"
"2006-08","M","A","162740000","71970000","90770000","17685522","54284375","4816747","85949254"
"2006-09","M","A","167980000","76340000","91640000","17870455","58472019","4488012","87141476"
"2006-09","M","B","1272610000","581380000","691230000","141645646","439733848","37748309","653471986"
"2006-10","M","A","152430000","64300000","88130000","13559789","50737728","4588838","83538533"
"2006-10","M","B","1424950000","645670000","779290000","155214089","490450532","42333624","736951714"
"2006-11","M","B","1593560000","718520000","875040000","171423769","547091216","47550660","827491810"
"2006-11","M","A","168790000","72930000","95850000","16232426","56694063","5235814","90618683"
"2006-12","M","A","167200000","73100000","94100000","15679954","57416797","5377758","88716298"
"2006-12","M","B","1760690000","791610000","969080000","187141188","604472425","52925432","916147407"
"2007-01","M","A","157360000","70740000","86620000","17116175","53623024","4555850","82063881"
"2007-01","M","B","157360000","70740000","86620000","17116175","53623024","4555850","82063881"
"2007-02","M","A","140440000","58340000","82100000","13980059","44359302","4342590","77753002"
"2007-02","M","B","297810000","129100000","168710000","31107239","97994361","8914536","159796102"
"2007-03","M","A","159990000","76560000","83430000","18204822","58347893","4533870","78890286"
"2007-03","M","B","457740000","205650000","252090000","49316266","156315031","13446425","238630848"
"2007-04","M","B","635730000","286200000","349520000","69751139","216466571","18613254","330884259"
"2007-04","M","A","178020000","80570000","97440000","20432649","60171560","5167656","92282299"
"2007-05","M","A","165650000","71600000","94060000","18652899","52937922","4810009","89255032"
"2007-05","M","B","801340000","357810000","443530000","88417623","269389512","23423118","420109673"
"2007-06","M","B","980930000","434200000","546730000","107991945","326211909","28453388","518271987"
"2007-06","M","A","179630000","76360000","103270000","19533929","56824288","5032024","98236262"
"2007-07","M","B","1172000000","517590000","654410000","129615542","387976551","33309812","621098880"
"2007-07","M","A","191130000","83390000","107740000","21600063","61787126","4860805","102883299"
"2007-08","M","A","197740000","86380000","111360000","22355320","64025384","5136059","106218722"
"2007-08","M","B","1369710000","603980000","765740000","152006110","451971448","38445403","727290268"
"2007-09","M","A","201050000","88570000","112480000","21358790","67208416","5113323","107259726"
"2007-09","M","B","1570830000","692590000","878240000","173377078","519214725","43590988","834542668"
"2007-10","M","A","188400000","80670000","107720000","20148642","60524692","5225005","102498984"
"2007-10","M","B","1759320000","773480000","985840000","193562041","579710221","48811565","937033212"
"2007-11","M","B","1969090000","865480000","1103600000","217786789","646969747","54869169","1048735175"
"2007-11","M","A","208960000","91340000","117620000","24137402","67202154","6052926","111567880"
"2007-12","M","A","206150000","91730000","114420000","25078101","66650880","6641559","107774427"
"2007-12","M","B","2173830000","955820000","1218020000","242977466","712841030","61546916","1156467599"
"2008-01","M","B","199830000","90170000","109650000","27698612","62475834","6006786","103633244"
"2008-01","M","A","199830000","90170000","109650000","27698612","62475834","6006786","103633244"
"2008-02","M","A","166180000","78810000","87370000","25762458","53050675","4627781","82740015"
"2008-02","M","B","365930000","168940000","196990000","53443892","115493791","10634655","186356171"
"2008-03","M","A","204520000","95560000","108960000","30475090","65081052","5498969","103463922"
"2008-03","M","B","570380000","264480000","305900000","83952893","180525821","16132017","289764891"
"2008-04","M","A","220740000","102030000","118710000","31906948","70122390","6303704","112402983"
"2008-04","M","B","791140000","366570000","424570000","115927862","250644647","22436811","402133843"
"2008-05","M","A","220780000","100290000","120500000","34136789","66149273","6803563","113692928"
"2008-05","M","B","1012080000","467030000","545060000","150195414","316831636","29238982","515816166"
"2008-06","M","B","1234170000","567570000","666610000","183994138","383554461","36615220","629636190"
"2008-06","M","A","221710000","100180000","121530000","33453975","66725961","7364852","113814702"
"2008-07","M","A","248070000","111400000","136680000","37352124","74045022","7389267","129285778"
"2008-07","M","B","1482110000","679200000","802910000","221651908","457546973","44019863","758876345"
"2008-08","M","B","1723380000","785690000","937690000","259248750","526442534","51162049","886523245"
"2008-08","M","A","241050000","106180000","134870000","37205566","68972927","7138289","127734386"
"2008-09","M","B","1967130000","893070000","1074060000","294223094","598847564","58413697","1015644392"
"2008-09","M","A","243500000","107070000","136440000","34671219","72394055","7252095","129179993"
"2008-10","M","B","2188670000","986340000","1202330000","322279412","664058801","64878059","1137452888"
"2008-10","M","A","221410000","93090000","128330000","27857007","65230679","6480380","121846648"
"2008-11","M","A","189890000","74900000","114990000","21760410","53137060","5976675","109010610"
"2008-11","M","B","2378370000","1061210000","1317160000","344075681","717134834","70779761","1246381846"
"2008-12","M","B","2561630000","1133090000","1428550000","362775851","770310485","77847587","1350698121"
"2008-12","M","A","183330000","72180000","111160000","18883594","53293592","6800391","104356830"
"2009-01","M","B","141800000","51340000","90450000","13851188","37493076","4851491","85602109"
"2009-01","M","A","141800000","51340000","90450000","13851188","37493076","4851491","85602109"
"2009-02","M","B","266770000","111440000","155330000","29867751","81572375","8469650","146855769"
"2009-02","M","A","124950000","60050000","64890000","16001071","44052587","3619373","61275275"
"2009-03","M","B","428740000","183200000","245540000","49289348","133910136","12983263","232556671"
"2009-03","M","A","162020000","71730000","90290000","19374531","52354581","4526757","85763790"
"2009-04","M","A","170730000","78800000","91930000","21548305","57251382","4821446","87113273"
"2009-04","M","B","599410000","261990000","337420000","70865946","191120958","17802951","319617915"
"2009-05","M","B","763490000","337350000","426140000","92482450","244866328","22340945","403801098"
"2009-05","M","A","164130000","75370000","88760000","21570236","53799120","4535839","84222047"
"2009-06","M","B","946120000","424600000","521530000","116776416","307836010","27444238","494187572"
"2009-06","M","A","182570000","87160000","95410000","24182475","62993616","5141250","90370775"
"2009-07","M","B","1146710000","519620000","627100000","145866713","373750346","32602822","594494377"
"2009-07","M","A","200210000","94790000","105420000","28855950","65934634","5191395","100228845"
"2009-08","M","A","191700000","88000000","103710000","25654328","62340906","5356770","98350238"
"2009-08","M","B","1338650000","607920000","730740000","171764616","436154130","37951486","692784632"
"2009-09","M","B","1557820000","711180000","846650000","201318972","509856285","43818442","802830964"
"2009-09","M","A","218940000","103010000","115940000","29306563","73699307","5869184","110068810"
"2009-10","M","B","1755490000","798130000","957360000","227208635","570923122","49258495","908102077"
"2009-10","M","A","197540000","86780000","110760000","25736984","61037765","5445399","105316985"
"2009-11","M","A","208210000","94560000","113650000","26764780","67795651","6022840","107630590"
"2009-11","M","B","1964000000","893020000","1070980000","254292521","638729753","55281379","1015699210"
"2009-12","M","A","243020000","112290000","130720000","34632050","77661663","7818765","122905116"
"2009-12","M","B","2207270000","1005600000","1201660000","289201834","716353391","63099079","1138564212"
"2010-01","M","B","204780000","95310000","109480000","29655884","65651163","6412722","103062576"
"2010-01","M","A","204780000","95310000","109480000","29655884","65651163","6412722","103062576"
"2010-02","M","B","386400000","182320000","204080000","58325260","123994038","11207480","192874270"
"2010-02","M","A","181430000","86910000","94520000","28661736","58248598","4790747","89731968"
"2010-03","M","A","231460000","119350000","112110000","35643106","83704987","6337995","105773798"
"2010-03","M","B","617850000","301680000","316170000","93985294","207694470","17543108","298625408"
"2010-04","M","B","855990000","419940000","436050000","130166461","289773570","24128183","411923696"
"2010-04","M","A","238160000","118240000","119920000","36154933","82084529","6586327","113334339"
"2010-05","M","A","243990000","112230000","131760000","34754526","77473224","7190154","124570509"
"2010-05","M","B","1100090000","532350000","567740000","165076923","367273277","31294584","536449201"
"2010-06","M","A","254770000","117370000","137400000","37816079","79557647","6703364","130692214"
"2010-06","M","B","1354880000","649790000","705090000","202987691","446803906","37994571","667095153"
"2010-07","M","B","1617050000","766560000","850490000","238245879","528311385","45148112","805341798"
"2010-07","M","A","262310000","116790000","145520000","35191460","81597474","7151069","138368249"
"2010-08","M","A","258570000","119270000","139300000","35335834","83930318","6738160","132564071"
"2010-08","M","B","1875580000","885840000","989740000","273608201","612229407","51881757","937856941"
"2010-09","M","B","2148680000","1014040000","1134640000","313774465","700264457","58783416","1075851955"
"2010-09","M","A","273100000","128110000","144990000","40022500","88087804","6918981","138066304"
"2010-10","M","B","2393410000","1122820000","1270590000","345918018","776896684","65268478","1205321123"
"2010-10","M","A","244810000","108830000","135980000","32152963","76679738","6487246","129491172"
"2010-11","M","A","283760000","130440000","153330000","40942635","89493310","8076885","145248877"
"2010-11","M","B","2677280000","1253430000","1423840000","387027753","866404729","73341618","1350502712"
"2010-12","M","B","2972760000","1394830000","1577930000","432556433","962272276","81716618","1496215634"
"2010-12","M","A","295220000","141070000","154150000","45266149","95802685","8376150","145772746"
"2011-01","M","B","295010000","144270000","150730000","48490288","95782922","8557287","142176864"
"2011-01","M","A","295010000","144270000","150730000","48490288","95782922","8557287","142176864"
"2011-02","M","B","495830000","248360000","247470000","85605284","162777371","13869455","233600466"
"2011-02","M","A","200780000","104040000","96740000","37098062","66965902","5313007","91423119"
"2011-03","M","A","304260000","152060000","152200000","48376008","103684301","9349435","142849636"
"2011-03","M","B","800310000","400660000","399640000","134156176","266482699","23214544","376428020"
"2011-04","M","B","1100320000","545020000","555300000","183416993","361602126","31871735","523428131"
